w,h,k,gender
50,150,-0.29,-1
45,157.5,0.06,-1
44,156,-0.05,-1
41,158,0.01,-1
57.5,155,0.16,-1
53,148,-0.35,-1
43,178,1.25,1
68,178,1.75,1
64,172,1.31,1
66,177,1.65,1
57,170,1.05,1
55,172.77,1.1762,1
59,174,1.33,1
54,163,0.57,1
72,177,1.77,1
57,163,0.63,1
42,165,0.45,1
62,180,1.75,1
71,170,1.33,1
47,167,0.67,1
50,167,0.73,1
50,163,0.49,1
52,169,0.89,1
58,168,0.95,1
72,169,1.29,1
67,170,1.25,1
66,167,1.05,1
52,168,0.83,1
80,171,1.57,1
65,165,0.91,1
53,163,0.55,1
61,170,1.13,1
59,165,0.79,1
61,155,0.23,1
55,170,1.01,1
50,165,0.61,1
45.5,168,0.7,1
63,172,1.29,1
60,168,0.99,1
63,176,1.53,1
82,180,2.15,1
65,167,1.03,1
54,170,0.99,1
56,166,0.79,1
50,158,0.19,1
59,164,0.73,1
58.2,162,0.594,1
66,166,0.99,1
42,170,0.75,1
47,179,1.39,1
52,155,0.05,1
63,184,2.01,1
50,170,0.91,1
62,171,1.21,1
44,161,0.25,1
74,182,2.11,1
58,162,0.59,1
65,170,1.21,1
55.5,163,0.6,1
68,165,0.97,1
48,160,0.27,1
62,172,1.27,1
64,175,1.49,1
71.5,176,1.7,1
52,156,0.11,1
58,172,1.19,1
61,168,1.01,1
65,171,1.27,1
65,173,1.39,1
115,178,2.69,1
64,177,1.61,1
50,168,0.79,1
52,163,0.53,1
58,192,2.39,1
47,167,0.67,1
45,162,0.33,1
50,167,0.73,1
67,169,1.19,1
60,175,1.41,1
56,178,1.51,1
68.3,169,1.216,1
57,170,1.05,1
79,176,1.85,1
57,165,0.75,1
85,177,2.03,1
63,162,0.69,1
54,168,0.87,1
78,185,2.37,1
47,168,0.73,1
94,180,2.39,1
62,164,0.79,1
90,173,1.89,1
89,174,1.93,1
89,178.5,2.2,1
76,174,1.67,1
54,163,0.57,1
51,164,0.57,1
75,169,1.35,1
53,164,0.61,1
68,163,0.85,1
43,155,-0.13,1
55,169,0.95,1
44,161,0.25,1
54,167,0.81,1
64,172,1.31,1
110,181,2.77,1
72,175,1.65,1
66,169,1.17,1
69,164,0.93,1
56,170,1.03,1
51,166.5,0.72,1
50,168,0.79,1
88,182,2.39,1
62,169,1.09,1
75,178,1.89,1
67,175,1.55,1
85,179,2.15,1
65,173,1.39,1
72,169,1.29,1
89,171.5,1.78,1
65,173,1.39,1
48,168,0.75,1
77,186,2.41,1
51,173.5,1.14,1
70,176,1.67,1
50,174,1.15,1
58,177,1.49,1
46,171,0.89,1
67,176,1.61,1
65,176,1.57,1
55,174,1.25,1
47,167,0.67,1
45,165,0.51,1
57,173,1.23,1
75,178,1.89,1
80,173,1.69,1
55,173,1.19,1
55,170,1.01,1
84,176,1.95,1
79,174,1.73,1
70,173,1.49,1
42,157,-0.03,1
81,172,1.65,1
64,179,1.73,1
68,173,1.45,1
64,170,1.19,1
52,172,1.07,1
65,173,1.39,1
45,168,0.69,1
60,175,1.41,1
68,178,1.75,1
65,176,1.57,1
56,170,1.03,1
54,170.68,1.0308,1
118,173,2.45,1
57,177,1.47,1
43,171.45,0.857,1
69,180,1.89,1
48,165,0.57,1
55,173,1.19,1
66,182,1.95,1
52,170,0.95,1
51,156,0.09,1
63,173,1.35,1
58,163,0.65,1
77,173,1.63,1
67,167,1.07,1
58,180,1.67,1
53,170,0.97,1
53,173,1.15,1
62,175,1.45,1
98,173,2.05,1
76,168,1.31,1
68.8,174,1.526,1
75,168,1.29,1
48,165,0.57,1
45,166,0.57,1
64,164,0.83,1
72,177,1.77,1
58,169,1.01,1
45,160,0.21,1
98,180,2.47,1
60,173,1.29,1
59,158,0.37,1
54,162,0.51,1
76,170,1.43,1
60,168,0.99,1
72,176,1.71,1
63,179,1.71,1
57,170,1.05,1
64,160,0.59,1
60,174,1.35,1
60,165,0.81,1
59,172,1.21,1
68,161,0.73,1
53,163,0.55,1
68,175,1.57,1
87,184,2.49,1
90,170,1.71,1
65,157,0.43,1
45,162,0.33,1
57,167,0.87,1
62,184,1.99,1
87,170,1.65,1
50,170,0.91,1
79,175,1.79,1
51,175,1.23,1
63,168,1.05,1
53,174,1.21,1
75,177,1.83,1
52,172,1.07,1
54,164,0.63,1
65,175,1.51,1
55,170,1.01,1
60,165,0.81,1
57,177,1.47,1
60,166,0.87,1
76,170,1.43,1
68,180,1.87,1
50,160,0.31,1
58,172,1.19,1
70,167,1.13,1
74,168,1.27,1
55,180,1.61,1
54,170,0.99,1
67,166,1.01,1
66,179.8,1.818,1
60.5,164,0.76,1
80,175,1.81,1
78,186,2.43,1
52,169,0.89,1
60,170,1.11,1
73,172,1.49,1
59,172,1.21,1
48,172,0.99,1
72,170,1.35,1
50,160,0.31,1
69,172,1.41,1
64,174,1.43,1
53,165,0.67,1
54,156,0.15,1
80,171,1.57,1
90,164,1.35,1
58,167,0.89,1
65,176,1.57,1
53,170,0.97,1
74,174,1.63,1
48,163,0.45,1
48,163,0.45,1
61,172,1.25,1
69,171,1.35,1
76,176.78,1.8368,1
49,174,1.13,1
76,188,2.51,1
75,175,1.71,1
52,174,1.19,1
81,170,1.53,1
60,177,1.53,1
55,170,1.01,1
53,173,1.15,1
65,169,1.15,1
86,190,2.83,1
65,175,1.51,1
53,175,1.27,1
65,165,0.91,1
88,170,1.67,1
77,177,1.87,1
49,163,0.47,1
68,167,1.09,1
70,181,1.97,1
60,170,1.11,1
43,164,0.41,1
59,179,1.63,1
55,172,1.13,1
